side	eta	phi	depth	dphi	det	RBX	wedge	rm	BV/pix	card	QIE	rm_fib	fib_ch	pp col	pp row	pp coupler	pp LC	dodec	crate	uhtr	uhtr_fib	fedid	QIEid		i	cr	sl	tb	dcc	spigot	uhtr_fib	fib_ch	subdet	RM	rm_fib	fib_ch		i	cr	sl	tb	dcc	spigot	uhtr_fib	fib_ch	subdet	ieta	iphi	depth
1	7	64	1	1	HB	HBP17	17	2	9	3	1	6	1	4	2	HBP17_RM2B	2	5	34	10	16	1114	100649		4E2818C1	34	10	u	0	0	16	1	CRF	6	6	1		45501	34	10	u	0	0	16	1	HB	7	64	1
1	3	64	1	1	HB	HBP17	17	2	14	3	2	6	2	4	2	HBP17_RM2B	2	5	34	10	16	1114	100649		4E2818C2	34	10	u	0	0	16	2	CRF	6	6	2		45501	34	10	u	0	0	16	2	HB	3	64	1
1	5	64	1	1	HB	HBP17	17	2	16	3	4	7	0	4	2	HBP17_RM2B	3	6	34	10	17	1114	100649		4E2818E0	34	10	u	0	0	17	0	CRF	6	7	0		45511	34	10	u	0	0	17	0	HB	5	64	1
1	1	64	1	1	HB	HBP17	17	2	18	3	5	7	1	4	2	HBP17_RM2B	3	6	34	10	17	1114	100649		4E2818E1	34	10	u	0	0	17	1	CRF	6	7	1		45511	34	10	u	0	0	17	1	HB	1	64	1
1	9	64	1	1	HB	HBP17	17	2	12	3	3	7	2	4	2	HBP17_RM2B	3	6	34	10	17	1114	100649		4E2818E2	34	10	u	0	0	17	2	CRF	6	7	2		45511	34	10	u	0	0	17	2	HB	9	64	1
1	8	65	1	1	HB	HBP17	17	3	9	2	4	5	0	4	3	HBP17_RM3B	1	7	34	10	18	1114	100018		4E281CA0	34	10	u	0	0	18	0	CRF	7	5	0		45521	34	10	u	0	0	18	0	HB	8	65	1
1	4	65	1	1	HB	HBP17	17	3	5	2	5	5	1	4	3	HBP17_RM3B	1	7	34	10	18	1114	100018		4E281CA1	34	10	u	0	0	18	1	CRF	7	5	1		45521	34	10	u	0	0	18	1	HB	4	65	1
1	12	65	1	1	HB	HBP17	17	3	14	2	3	5	2	4	3	HBP17_RM3B	1	7	34	10	18	1114	100018		4E281CA2	34	10	u	0	0	18	2	CRF	7	5	2		45521	34	10	u	0	0	18	2	HB	12	65	1
1	11	65	1	1	HB	HBP17	17	3	15	3	0	6	0	4	3	HBP17_RM3B	2	8	34	10	19	1114	100625		4E281CC0	34	10	u	0	0	19	0	CRF	7	6	0		45531	34	10	u	0	0	19	0	HB	11	65	1
1	7	65	1	1	HB	HBP17	17	3	11	3	1	6	1	4	3	HBP17_RM3B	2	8	34	10	19	1114	100625		4E281CC1	34	10	u	0	0	19	1	CRF	7	6	1		45531	34	10	u	0	0	19	1	HB	7	65	1
1	3	65	1	1	HB	HBP17	17	3	6	3	2	6	2	4	3	HBP17_RM3B	2	8	34	10	19	1114	100625		4E281CC2	34	10	u	0	0	19	2	CRF	7	6	2		45531	34	10	u	0	0	19	2	HB	3	65	1
1	5	65	1	1	HB	HBP17	17	3	4	3	4	7	0	4	3	HBP17_RM3B	3	9	34	10	20	1114	100625		4E281CE0	34	10	u	0	0	20	0	CRF	7	7	0		45541	34	10	u	0	0	20	0	HB	5	65	1
1	1	65	1	1	HB	HBP17	17	3	2	3	5	7	1	4	3	HBP17_RM3B	3	9	34	10	20	1114	100625		4E281CE1	34	10	u	0	0	20	1	CRF	7	7	1		45541	34	10	u	0	0	20	1	HB	1	65	1
1	9	65	1	1	HB	HBP17	17	3	8	3	3	7	2	4	3	HBP17_RM3B	3	9	34	10	20	1114	100625		4E281CE2	34	10	u	0	0	20	2	CRF	7	7	2		45541	34	10	u	0	0	20	2	HB	9	65	1
1	8	66	1	1	HB	HBP17	17	4	8	2	4	5	0	4	4	HBP17_RM4B	1	10	34	10	21	1114	100677		4E2820A0	34	10	u	0	0	21	0	CRF	8	5	0		45551	34	10	u	0	0	21	0	HB	8	66	1
1	4	66	1	1	HB	HBP17	17	4	13	2	5	5	1	4	4	HBP17_RM4B	1	10	34	10	21	1114	100677		4E2820A1	34	10	u	0	0	21	1	CRF	8	5	1		45551	34	10	u	0	0	21	1	HB	4	66	1
1	12	66	1	1	HB	HBP17	17	4	4	2	3	5	2	4	4	HBP17_RM4B	1	10	34	10	21	1114	100677		4E2820A2	34	10	u	0	0	21	2	CRF	8	5	2		45551	34	10	u	0	0	21	2	HB	12	66	1
1	11	66	1	1	HB	HBP17	17	4	12	3	0	6	0	4	4	HBP17_RM4B	2	11	34	10	22	1114	100611		4E2820C0	34	10	u	0	0	22	0	CRF	8	6	0		45561	34	10	u	0	0	22	0	HB	11	66	1
1	7	66	1	1	HB	HBP17	17	4	16	3	1	6	1	4	4	HBP17_RM4B	2	11	34	10	22	1114	100611		4E2820C1	34	10	u	0	0	22	1	CRF	8	6	1		45561	34	10	u	0	0	22	1	HB	7	66	1
1	3	66	1	1	HB	HBP17	17	4	19	3	2	6	2	4	4	HBP17_RM4B	2	11	34	10	22	1114	100611		4E2820C2	34	10	u	0	0	22	2	CRF	8	6	2		45561	34	10	u	0	0	22	2	HB	3	66	1
1	5	66	1	1	HB	HBP17	17	4	14	3	4	7	0	4	4	HBP17_RM4B	3	12	34	10	23	1114	100611		4E2820E0	34	10	u	0	0	23	0	CRF	8	7	0		45571	34	10	u	0	0	23	0	HB	5	66	1
1	1	66	1	1	HB	HBP17	17	4	17	3	5	7	1	4	4	HBP17_RM4B	3	12	34	10	23	1114	100611		4E2820E1	34	10	u	0	0	23	1	CRF	8	7	1		45571	34	10	u	0	0	23	1	HB	1	66	1
1	9	66	1	1	HB	HBP17	17	4	9	3	3	7	2	4	4	HBP17_RM4B	3	12	34	10	23	1114	100611		4E2820E2	34	10	u	0	0	23	2	CRF	8	7	2		45571	34	10	u	0	0	23	2	HB	9	66	1
1	16	63	2	1	HB	HBP17	17	1	18	1	0	2	0	3	1	HBP17_RM1A	2	3	34	11	2	1114	100792		4E281440	34	11	u	0	0	2	0	CRF	5	2	0		45622	34	11	u	0	0	2	0	HB	16	63	2
1	15	63	2	1	HB	HBP17	17	1	13	1	1	2	1	3	1	HBP17_RM1A	2	3	34	11	2	1114	100792		4E281441	34	11	u	0	0	2	1	CRF	5	2	1		45622	34	11	u	0	0	2	1	HB	15	63	2
1	14	63	1	1	HB	HBP17	17	1	14	1	2	2	2	3	1	HBP17_RM1A	2	3	34	11	2	1114	100792		4E281442	34	11	u	0	0	2	2	CRF	5	2	2		45621	34	11	u	0	0	2	2	HB	14	63	1
1	15	63	1	1	HB	HBP17	17	1	19	1	4	3	0	3	1	HBP17_RM1A	3	4	34	11	3	1114	100792		4E281460	34	11	u	0	0	3	0	CRF	5	3	0		45631	34	11	u	0	0	3	0	HB	15	63	1
1	13	63	1	1	HB	HBP17	17	1	15	1	5	3	1	3	1	HBP17_RM1A	3	4	34	11	3	1114	100792		4E281461	34	11	u	0	0	3	1	CRF	5	3	1		45631	34	11	u	0	0	3	1	HB	13	63	1
1	16	63	1	1	HB	HBP17	17	1	17	1	3	3	2	3	1	HBP17_RM1A	3	4	34	11	3	1114	100792		4E281462	34	11	u	0	0	3	2	CRF	5	3	2		45631	34	11	u	0	0	3	2	HB	16	63	1
1	16	64	2	1	HB	HBP17	17	2	17	1	0	2	0	3	2	HBP17_RM2A	2	5	34	11	4	1114	100651		4E281840	34	11	u	0	0	4	0	CRF	6	2	0		45642	34	11	u	0	0	4	0	HB	16	64	2
1	15	64	2	1	HB	HBP17	17	2	3	1	1	2	1	3	2	HBP17_RM2A	2	5	34	11	4	1114	100651		4E281841	34	11	u	0	0	4	1	CRF	6	2	1		45642	34	11	u	0	0	4	1	HB	15	64	2
1	14	64	1	1	HB	HBP17	17	2	1	1	2	2	2	3	2	HBP17_RM2A	2	5	34	11	4	1114	100651		4E281842	34	11	u	0	0	4	2	CRF	6	2	2		45641	34	11	u	0	0	4	2	HB	14	64	1
1	15	64	1	1	HB	HBP17	17	2	2	1	4	3	0	3	2	HBP17_RM2A	3	6	34	11	5	1114	100651		4E281860	34	11	u	0	0	5	0	CRF	6	3	0		45651	34	11	u	0	0	5	0	HB	15	64	1
1	13	64	1	1	HB	HBP17	17	2	7	1	5	3	1	3	2	HBP17_RM2A	3	6	34	11	5	1114	100651		4E281861	34	11	u	0	0	5	1	CRF	6	3	1		45651	34	11	u	0	0	5	1	HB	13	64	1
