iEta,iPhi,Depth,RM,RM fiber,channel number,Mean TDC time[ns],Uncertainty,Adjustment [ns],Adjustment [phase units]
  23,  65,    2,  3,1,4,104.4,0.03,1.6,3
  23,  63,    3,  2,8,3,104.9,0.05,1.1,2
  23,  65,    3,  3,1,3,104.2,0.04,1.8,4
  23,  63,    4,  2,3,4,104.5,0.07,1.5,3
  23,  65,    4,  3,8,1,103.4,0.08,2.6,5
  23,  63,    5,  2,6,1,103.6,0.19,2.4,5
  23,  65,    5,  3,3,1,102.8,0.12,3.2,6
  23,  63,    6,  2,3,0,105.8,0.53,0.0,0
  23,  65,    6,  3,3,0,102.7,0.33,3.3,7
  24,  63,    1,  1,7,3,108.2,0.02,-2.2,-4
  24,  65,    1,  4,2,3,106.9,0.02,-0.9,-2
  24,  63,    2,  1,1,4,105.5,0.02,0.5,1
  24,  65,    2,  4,8,4,105.0,0.02,1.0,2
  24,  63,    3,  1,1,3,105.7,0.04,0.3,1
  24,  65,    3,  4,8,3,106.0,0.03,0.0,0
  24,  63,    4,  1,8,1,104.5,0.08,1.5,3
  24,  65,    4,  4,3,4,104.2,0.06,1.8,4
  24,  63,    5,  1,3,1,103.4,0.12,2.6,5
  24,  65,    5,  4,6,1,103.4,0.11,2.6,5
  24,  63,    6,  1,3,0,105.3,0.27,0.7,1
  24,  65,    6,  4,3,0,104.4,0.32,1.6,3
  25,  63,    1,  2,2,5,108.1,0.01,-2.1,-4
  25,  65,    1,  3,7,5,106.8,0.02,-0.8,-2
  25,  63,    2,  2,8,5,105.0,0.02,1.0,2
  25,  65,    2,  3,1,5,104.6,0.01,1.4,3
  25,  63,    3,  2,6,5,105.4,0.03,0.6,1
  25,  65,    3,  3,3,5,105.0,0.03,1.0,2
  25,  63,    4,  2,3,1,105.6,0.06,0.4,1
  25,  65,    4,  3,5,1,105.0,0.05,1.0,2
  25,  63,    5,  2,6,3,104.1,0.09,1.9,4
  25,  65,    5,  3,3,2,103.4,0.08,2.6,5
  25,  63,    6,  2,6,2,107.3,0.26,-1.3,-3
  25,  65,    6,  3,3,3,105.7,0.21,0.3,1
  26,  63,    1,  1,7,5,107.8,0.01,-1.8,-4
  26,  65,    1,  4,2,5,106.8,0.01,-0.8,-2
  26,  63,    2,  1,1,5,106.0,0.01,-0.0,0
  26,  65,    2,  4,8,5,104.7,0.01,1.3,3
  26,  63,    3,  1,3,5,105.9,0.02,0.1,0
  26,  65,    3,  4,6,5,104.7,0.02,1.3,3
  26,  63,    4,  1,5,1,106.7,0.03,-0.7,-1
  26,  65,    4,  4,3,1,106.0,0.03,0.0,0
  26,  63,    5,  1,3,2,105.4,0.04,0.6,1
  26,  65,    5,  4,6,3,105.4,0.04,0.6,1
  26,  63,    6,  1,3,3,105.0,0.06,1.0,2
  26,  65,    6,  4,6,2,104.8,0.07,1.2,2
  26,  63,    7,  1,4,4,107.7,0.15,-1.7,-3
  26,  65,    7,  4,5,4,106.4,0.15,-0.4,-1
