nDigis,iEta,iPhi,Depth,Mean TDC time[ns], TDC time RMS[ns], Uncertainty,Adjustment[ns],Adjustment[phase units],Net adjustment combined with first round
670,-22,5,6,79.35,5.36,0.207,1.6,3,-11
2865,-22,5,5,79.64,3.46,0.065,1.4,3,-8
6560,-22,5,4,79.29,2.68,0.033,1.7,3,-10
17540,-22,5,3,79.49,2.53,0.019,1.5,3,-13
46598,-22,5,2,79.51,2.35,0.011,1.5,3,-11
556521,-22,5,1,79.72,4.32,0.006,1.3,3,-17
381,-22,3,6,78.59,3.65,0.187,2.4,5,-10
2178,-22,3,5,79.47,3.31,0.071,1.5,3,-7
4763,-22,3,4,79.39,2.60,0.038,1.6,3,-10
15273,-22,3,3,79.32,2.62,0.021,1.7,3,-11
65317,-22,3,2,79.76,2.48,0.010,1.2,2,-11
591280,-22,3,1,79.64,4.39,0.006,1.4,3,-16
270,-22,1,6,79.20,4.27,0.260,1.8,4,-9
2593,-22,1,5,79.57,2.84,0.056,1.4,3,-8
6796,-22,1,4,79.41,2.73,0.033,1.6,3,-8
15747,-22,1,3,79.54,2.48,0.020,1.5,3,-12
61679,-22,1,2,79.56,2.42,0.010,1.4,3,-9
571057,-22,1,1,79.95,4.36,0.006,1.0,2,-16
224,-21,71,6,79.30,4.66,0.312,1.7,3,-7
1762,-21,71,5,79.52,2.88,0.069,1.5,3,-6
3747,-21,71,4,79.36,2.67,0.044,1.6,3,-8
9313,-21,71,3,79.67,2.71,0.028,1.3,3,-9
35942,-21,71,2,79.65,2.67,0.014,1.4,3,-8
450697,-21,71,1,79.73,4.76,0.007,1.3,3,-15
267,-21,69,6,80.88,5.48,0.335,0.1,0,-14
1543,-21,69,5,80.52,3.06,0.078,0.5,1,-7
4115,-21,69,4,80.38,2.55,0.040,0.6,1,-11
12879,-21,69,3,80.35,2.70,0.024,0.7,1,-14
37166,-21,69,2,80.28,2.67,0.014,0.7,1,-11
440805,-21,69,1,81.05,4.92,0.007,-0.1,0,-18
344,-21,67,6,80.58,4.75,0.256,0.4,1,-6
1611,-21,67,5,80.03,3.19,0.080,1.0,2,-6
4987,-21,67,4,80.32,2.61,0.037,0.7,1,-9
11102,-21,67,3,80.39,2.70,0.026,0.6,1,-9
30651,-21,67,2,80.80,2.52,0.014,0.2,0,-10
439820,-21,67,1,81.22,4.78,0.007,-0.2,0,-17
257,-21,65,6,80.26,5.04,0.314,0.7,1,-13
1887,-21,65,5,80.68,3.09,0.071,0.3,1,-7
4478,-21,65,4,80.58,2.80,0.042,0.4,1,-12
12309,-21,65,3,80.37,2.53,0.023,0.6,1,-11
34421,-21,65,2,80.50,2.63,0.014,0.5,1,-11
421879,-21,65,1,81.10,4.80,0.007,-0.1,0,-17
315,-21,63,6,80.96,5.34,0.301,0.0,0,-8
1808,-21,63,5,80.51,3.34,0.079,0.5,1,-7
4396,-21,63,4,80.59,2.78,0.042,0.4,1,-9
12591,-21,63,3,80.52,2.59,0.023,0.5,1,-8
44217,-21,63,2,80.43,2.66,0.013,0.6,1,-10
459551,-21,63,1,80.68,4.79,0.007,0.3,1,-17
315,-21,61,6,80.51,4.40,0.248,0.5,1,-11
1536,-21,61,5,80.54,2.95,0.075,0.5,1,-6
4148,-21,61,4,81.56,2.83,0.044,-0.6,-1,-13
11355,-21,61,3,80.63,2.50,0.023,0.4,1,-11
46015,-21,61,2,81.50,2.72,0.013,-0.5,-1,-14
457430,-21,61,1,82.16,4.83,0.007,-1.2,-2,-20
255,-21,59,6,80.81,4.74,0.297,0.2,0,-8
1423,-21,59,5,80.55,2.99,0.079,0.4,1,-5
3254,-21,59,4,80.82,2.82,0.049,0.2,0,-10
12656,-21,59,3,80.54,2.50,0.022,0.5,1,-10
40540,-21,59,2,80.51,2.77,0.014,0.5,1,-10
478139,-21,59,1,81.03,4.77,0.007,-0.0,0,-18
226,-21,57,6,81.15,5.61,0.373,-0.2,0,-12
1954,-21,57,5,80.23,2.77,0.063,0.8,2,-4
4904,-21,57,4,80.22,2.75,0.039,0.8,2,-11
12095,-21,57,3,80.62,2.56,0.023,0.4,1,-9
41264,-21,57,2,80.59,2.74,0.013,0.4,1,-11
466468,-21,57,1,80.69,4.83,0.007,0.3,1,-16
355,-21,55,6,80.46,4.51,0.239,0.5,1,-7
1926,-21,55,5,80.51,3.00,0.068,0.5,1,-7
5203,-21,55,4,80.18,2.81,0.039,0.8,2,-9
13611,-21,55,3,80.32,2.76,0.024,0.7,1,-10
36263,-21,55,2,80.76,2.77,0.015,0.2,0,-10
509265,-21,55,1,80.82,4.82,0.007,0.2,0,-16
341,-21,53,6,80.20,5.35,0.290,0.8,2,-12
1698,-21,53,5,80.71,2.95,0.072,0.3,1,-6
4850,-21,53,4,80.26,2.75,0.039,0.7,1,-11
12326,-21,53,3,80.78,2.69,0.024,0.2,0,-10
38331,-21,53,2,80.42,2.62,0.013,0.6,1,-10
461034,-21,53,1,80.95,4.76,0.007,0.0,0,-16
352,-21,51,6,80.77,5.01,0.267,0.2,0,-9
2198,-21,51,5,80.64,3.25,0.069,0.4,1,-5
5580,-21,51,4,80.55,2.93,0.039,0.4,1,-7
11255,-21,51,3,80.38,2.63,0.025,0.6,1,-8
37619,-21,51,2,80.72,2.74,0.014,0.3,1,-8
446084,-21,51,1,80.78,4.76,0.007,0.2,0,-15
263,-21,49,6,80.09,4.71,0.290,0.9,2,-10
1577,-21,49,5,80.47,3.11,0.078,0.5,1,-5
5369,-21,49,4,80.35,2.96,0.040,0.7,1,-9
11291,-21,49,3,80.73,2.66,0.025,0.3,1,-10
30529,-21,49,2,80.47,2.54,0.015,0.5,1,-9
465468,-21,49,1,81.07,4.94,0.007,-0.1,0,-18
485,-21,47,6,79.91,4.39,0.199,1.1,2,-6
2106,-21,47,5,80.32,3.06,0.067,0.7,1,-6
5485,-21,47,4,80.39,2.81,0.038,0.6,1,-9
14269,-21,47,3,80.53,2.86,0.024,0.5,1,-8
39890,-21,47,2,80.58,2.61,0.013,0.4,1,-7
446595,-21,47,1,80.80,4.76,0.007,0.2,0,-16
275,-21,45,6,80.15,4.56,0.275,0.8,2,-12
1800,-21,45,5,80.52,3.15,0.074,0.5,1,-6
4834,-21,45,4,80.34,2.84,0.041,0.7,1,-11
10921,-21,45,3,80.66,2.65,0.025,0.3,1,-12
32215,-21,45,2,80.60,2.62,0.015,0.4,1,-11
407190,-21,45,1,81.07,4.66,0.007,-0.1,0,-16
294,-21,43,6,80.85,5.45,0.318,0.1,0,-8
1518,-21,43,5,80.13,3.03,0.078,0.9,2,-6
4689,-21,43,4,80.50,2.98,0.044,0.5,1,-9
11815,-21,43,3,80.48,2.62,0.024,0.5,1,-8
41623,-21,43,2,80.73,2.77,0.014,0.3,1,-8
548826,-21,43,1,81.12,4.87,0.007,-0.1,0,-16
305,-21,41,6,80.48,6.13,0.351,0.5,1,-13
1538,-21,41,5,80.66,3.37,0.086,0.3,1,-6
4861,-21,41,4,80.60,3.18,0.046,0.4,1,-10
11206,-21,41,3,80.47,2.62,0.025,0.5,1,-10
32084,-21,41,2,80.35,2.64,0.015,0.6,1,-11
407929,-21,41,1,80.95,4.83,0.008,0.1,0,-18
437,-21,39,6,80.42,5.08,0.243,0.6,1,-8
2475,-21,39,5,80.57,2.95,0.059,0.4,1,-5
5757,-21,39,4,80.60,2.87,0.038,0.4,1,-9
12040,-21,39,3,80.70,2.68,0.024,0.3,1,-8
29671,-21,39,2,80.56,2.65,0.015,0.4,1,-9
365617,-21,39,1,81.07,4.56,0.008,-0.1,0,-15
213,-21,37,6,80.26,4.35,0.298,0.7,1,-10
1534,-21,37,5,80.29,2.99,0.076,0.7,1,-6
4156,-21,37,4,80.53,2.67,0.041,0.5,1,-11
10328,-21,37,3,80.68,2.59,0.026,0.3,1,-9
33117,-21,37,2,80.60,2.58,0.014,0.4,1,-11
385806,-21,37,1,80.66,4.72,0.008,0.3,1,-17
304,-21,35,6,81.23,5.03,0.288,-0.2,0,-6
1740,-21,35,5,80.44,2.95,0.071,0.6,1,-8
5517,-21,35,4,80.39,3.03,0.041,0.6,1,-12
10017,-21,35,3,80.33,2.51,0.025,0.7,1,-8
32302,-21,35,2,80.58,2.67,0.015,0.4,1,-12
455001,-21,35,1,80.80,4.73,0.007,0.2,0,-19
252,-21,33,6,79.78,4.37,0.275,1.2,2,-10
1569,-21,33,5,80.30,2.97,0.075,0.7,1,-7
3741,-21,33,4,80.60,2.66,0.044,0.4,1,-7
10396,-21,33,3,80.36,2.50,0.024,0.6,1,-7
28859,-21,33,2,80.29,2.59,0.015,0.7,1,-9
384694,-21,33,1,80.82,4.65,0.008,0.2,0,-15
436,-21,31,6,80.54,4.79,0.229,0.5,1,-5
1887,-21,31,5,80.40,3.06,0.070,0.6,1,-4
4768,-21,31,4,80.61,3.03,0.044,0.4,1,-7
7894,-21,31,3,80.38,2.66,0.030,0.6,1,-8
34596,-21,31,2,80.61,2.71,0.015,0.4,1,-7
456008,-21,31,1,80.60,4.67,0.007,0.4,1,-13
274,-21,29,6,79.86,5.49,0.332,1.1,2,-11
1978,-21,29,5,80.62,3.14,0.071,0.4,1,-6
3873,-21,29,4,80.54,2.69,0.043,0.5,1,-7
13130,-21,29,3,80.55,2.60,0.023,0.5,1,-9
30743,-21,29,2,80.28,2.66,0.015,0.7,1,-10
499865,-21,29,1,80.77,4.84,0.007,0.2,0,-17
345,-21,27,6,81.05,4.69,0.252,-0.0,0,-8
1844,-21,27,5,80.73,2.99,0.070,0.3,1,-4
4307,-21,27,4,80.56,2.73,0.042,0.4,1,-7
12388,-21,27,3,80.24,2.68,0.024,0.8,2,-7
41579,-21,27,2,80.40,2.75,0.013,0.6,1,-9
502299,-21,27,1,81.07,4.75,0.007,-0.1,0,-14
288,-21,25,6,80.39,4.95,0.292,0.6,1,-11
1599,-21,25,5,80.31,3.08,0.077,0.7,1,-5
5017,-21,25,4,80.84,2.96,0.042,0.2,0,-10
10456,-21,25,3,80.48,2.57,0.025,0.5,1,-11
34228,-21,25,2,80.68,2.63,0.014,0.3,1,-10
426725,-21,25,1,81.13,4.76,0.007,-0.1,0,-17
394,-21,23,6,80.45,4.08,0.205,0.6,1,-6
2538,-21,23,5,80.30,3.21,0.064,0.7,1,-5
4663,-21,23,4,80.47,2.72,0.040,0.5,1,-8
11469,-21,23,3,80.62,2.67,0.025,0.4,1,-8
40776,-21,23,2,80.57,2.65,0.013,0.4,1,-8
441713,-21,23,1,80.77,4.77,0.007,0.2,0,-16
286,-21,21,6,79.30,4.61,0.273,1.7,3,-11
1717,-21,21,5,80.47,2.87,0.069,0.5,1,-8
4212,-21,21,4,79.07,2.62,0.040,1.9,4,-10
14286,-21,21,3,79.52,2.59,0.022,1.5,3,-10
34874,-21,21,2,79.54,2.58,0.014,1.5,3,-11
456301,-21,21,1,79.77,4.79,0.007,1.2,2,-18
361,-21,19,6,79.17,4.35,0.229,1.8,4,-6
1988,-21,19,5,79.40,3.13,0.070,1.6,3,-6
4669,-21,19,4,79.59,2.81,0.041,1.4,3,-9
14888,-21,19,3,79.62,2.73,0.022,1.4,3,-7
28118,-21,19,2,79.77,2.59,0.015,1.2,2,-9
475850,-21,19,1,79.96,4.76,0.007,1.0,2,-16
235,-21,17,6,78.61,5.87,0.383,2.4,5,-10
1395,-21,17,5,79.67,3.55,0.095,1.3,3,-5
4379,-21,17,4,79.66,2.77,0.042,1.3,3,-7
11123,-21,17,3,79.68,2.56,0.024,1.3,3,-7
45489,-21,17,2,79.68,2.61,0.012,1.3,3,-9
537539,-21,17,1,79.88,4.95,0.007,1.1,2,-17
305,-21,15,6,79.38,5.13,0.294,1.6,3,-7
1827,-21,15,5,79.09,3.18,0.074,1.9,4,-5
3529,-21,15,4,79.57,2.56,0.043,1.4,3,-7
10577,-21,15,3,79.47,2.61,0.025,1.5,3,-8
40010,-21,15,2,79.36,2.54,0.013,1.6,3,-9
511942,-21,15,1,79.97,4.87,0.007,1.0,2,-16
178,-21,13,6,78.65,3.81,0.286,2.4,5,-10
1582,-21,13,5,79.64,3.31,0.083,1.4,3,-5
4761,-21,13,4,80.60,2.91,0.042,0.4,1,-13
10734,-21,13,3,79.63,2.41,0.023,1.4,3,-9
38475,-21,13,2,80.57,2.69,0.014,0.4,1,-14
400277,-21,13,1,80.93,4.75,0.008,0.1,0,-21
368,-21,11,6,79.76,4.94,0.257,1.2,2,-8
1852,-21,11,5,79.39,3.33,0.077,1.6,3,-5
5745,-21,11,4,79.40,2.84,0.038,1.6,3,-12
15282,-21,11,3,79.41,2.59,0.021,1.6,3,-8
47266,-21,11,2,79.51,2.61,0.012,1.5,3,-11
409426,-21,11,1,79.81,4.74,0.007,1.2,2,-20
249,-21,9,6,80.17,5.47,0.347,0.8,2,-10
1603,-21,9,5,79.56,3.16,0.079,1.4,3,-4
4180,-21,9,4,79.57,3.01,0.046,1.4,3,-9
11043,-21,9,3,79.48,2.55,0.024,1.5,3,-11
36891,-21,9,2,79.15,2.54,0.013,1.9,4,-9
375096,-21,9,1,80.01,4.69,0.008,1.0,2,-16
319,-21,7,6,78.78,5.12,0.286,2.2,4,-6
2083,-21,7,5,79.64,3.09,0.068,1.4,3,-5
3975,-21,7,4,79.44,2.55,0.040,1.6,3,-6
12219,-21,7,3,79.63,2.56,0.023,1.4,3,-5
39703,-21,7,2,79.33,2.69,0.013,1.7,3,-7
482551,-21,7,1,79.99,4.81,0.007,1.0,2,-14
250,-21,5,6,79.19,4.46,0.282,1.8,4,-10
1400,-21,5,5,79.38,3.20,0.086,1.6,3,-5
4494,-21,5,4,79.39,2.59,0.039,1.6,3,-9
15548,-21,5,3,79.69,2.62,0.021,1.3,3,-10
45857,-21,5,2,79.64,2.65,0.012,1.4,3,-10
427496,-21,5,1,80.01,4.91,0.008,1.0,2,-18
275,-21,3,6,79.53,5.21,0.314,1.5,3,-8
1686,-21,3,5,79.19,3.06,0.075,1.8,4,-7
4589,-21,3,4,79.19,2.70,0.040,1.8,4,-9
12308,-21,3,3,79.40,2.71,0.024,1.6,3,-10
40150,-21,3,2,79.76,2.67,0.013,1.2,2,-10
427801,-21,3,1,79.89,4.66,0.007,1.1,2,-17
312,-21,1,6,79.12,5.52,0.313,1.9,4,-12
1764,-21,1,5,79.51,3.40,0.081,1.5,3,-6
5357,-21,1,4,79.28,2.74,0.037,1.7,3,-10
13101,-21,1,3,79.38,2.50,0.022,1.6,3,-9
44680,-21,1,2,79.55,2.70,0.013,1.4,3,-10
515656,-21,1,1,79.77,4.79,0.007,1.2,2,-16
136,-20,72,6,78.87,4.46,0.383,2.1,4,-2
859,-20,72,5,79.18,2.82,0.096,1.8,4,-3
2177,-20,72,4,79.84,2.98,0.064,1.2,2,-5
5705,-20,72,3,79.57,2.54,0.034,1.4,3,-5
19609,-20,72,2,79.39,2.93,0.021,1.6,3,-7
225345,-20,72,1,79.99,5.23,0.011,1.0,2,-12
98,-20,71,6,79.96,4.86,0.491,1.0,2,-2
1063,-20,71,5,79.66,3.14,0.096,1.3,3,0
2284,-20,71,4,79.78,2.99,0.063,1.2,2,-4
6476,-20,71,3,79.60,2.75,0.034,1.4,3,-5
24312,-20,71,2,79.61,2.96,0.019,1.4,3,-7
209970,-20,71,1,80.02,5.26,0.011,1.0,2,-13
147,-20,70,6,80.71,6.22,0.513,0.3,0,-7
653,-20,70,5,80.08,3.16,0.124,0.9,2,-4
1728,-20,70,4,80.55,2.96,0.071,0.5,1,-6
7292,-20,70,3,81.88,2.97,0.035,-0.9,-2,-11
20757,-20,70,2,80.47,3.18,0.022,0.5,1,-9
205168,-20,70,1,81.11,5.39,0.012,-0.1,0,-15
167,-20,69,6,80.66,5.25,0.406,0.3,0,-9
755,-20,69,5,80.24,4.48,0.163,0.8,2,-2
2247,-20,69,4,80.14,2.83,0.060,0.9,2,-7
7147,-20,69,3,80.40,2.81,0.033,0.6,1,-10
21887,-20,69,2,80.58,3.00,0.020,0.4,1,-9
201855,-20,69,1,80.89,5.17,0.012,0.1,0,-15
193,-20,68,6,80.27,5.06,0.364,0.7,1,-4
996,-20,68,5,80.46,2.77,0.088,0.5,1,-2
2832,-20,68,4,80.73,3.06,0.058,0.3,1,-6
6860,-20,68,3,80.51,2.86,0.035,0.5,1,-6
23273,-20,68,2,80.75,3.06,0.020,0.3,1,-7
205672,-20,68,1,80.87,5.26,0.012,0.1,0,-15
175,-20,67,6,79.41,3.61,0.273,1.6,3,-1
916,-20,67,5,80.20,3.10,0.102,0.8,2,-1
2799,-20,67,4,80.51,2.81,0.053,0.5,1,-4
7049,-20,67,3,80.62,3.07,0.037,0.4,1,-4
21582,-20,67,2,80.74,3.08,0.021,0.3,1,-6
218307,-20,67,1,80.88,5.22,0.011,0.1,0,-13
212,-20,66,6,80.60,6.40,0.440,0.4,0,-9
789,-20,66,5,80.40,3.15,0.112,0.6,1,-6
2673,-20,66,4,80.43,2.89,0.056,0.6,1,-8
5871,-20,66,3,80.36,2.88,0.038,0.6,1,-8
17729,-20,66,2,80.47,2.99,0.022,0.5,1,-9
184600,-20,66,1,81.06,5.34,0.012,-0.1,0,-16
186,-20,65,6,79.87,5.58,0.409,1.1,2,-10
960,-20,65,5,80.59,4.11,0.133,0.4,1,-5
2387,-20,65,4,80.26,3.03,0.062,0.7,1,-8
7268,-20,65,3,80.70,2.81,0.033,0.3,1,-6
15025,-20,65,2,80.34,2.85,0.023,0.7,1,-10
205267,-20,65,1,80.75,5.24,0.012,0.3,1,-15
182,-20,64,6,80.93,5.46,0.404,0.1,0,-4
1100,-20,64,5,80.15,3.13,0.094,0.9,2,-4
1859,-20,64,4,80.69,3.04,0.070,0.3,1,-5
7684,-20,64,3,80.74,2.91,0.033,0.3,1,-4
21415,-20,64,2,80.40,3.04,0.021,0.6,1,-9
186964,-20,64,1,81.20,5.15,0.012,-0.2,0,-14
152,-20,63,6,79.38,4.47,0.363,1.6,3,-4
972,-20,63,5,80.77,3.08,0.099,0.2,0,-3
2226,-20,63,4,80.49,3.01,0.064,0.5,1,-5
6849,-20,63,3,80.72,2.76,0.033,0.3,1,-6
22800,-20,63,2,80.42,3.10,0.021,0.6,1,-8
195650,-20,63,1,81.10,5.31,0.012,-0.1,0,-14
114,-20,62,6,80.93,6.84,0.641,0.1,0,-6
780,-20,62,5,80.93,3.63,0.130,0.1,0,-6
2312,-20,62,4,80.42,2.98,0.062,0.6,1,-7
6235,-20,62,3,80.58,2.88,0.036,0.4,1,-8
21932,-20,62,2,80.58,2.99,0.020,0.4,1,-8
169871,-20,62,1,80.86,5.37,0.013,0.1,0,-17
101,-20,61,6,78.85,4.48,0.446,2.2,4,-7
815,-20,61,5,80.71,3.13,0.110,0.3,1,-3
2642,-20,61,4,81.41,2.72,0.053,-0.4,-1,-11
6796,-20,61,3,80.70,2.66,0.032,0.3,1,-7
24947,-20,61,2,81.52,3.05,0.019,-0.5,-1,-12
201679,-20,61,1,81.95,5.26,0.012,-0.9,-2,-19
166,-20,60,6,80.03,4.75,0.369,1.0,2,-3
939,-20,60,5,80.17,3.15,0.103,0.8,2,-4
1514,-20,60,4,80.42,2.76,0.071,0.6,1,-7
7712,-20,60,3,80.34,2.86,0.033,0.7,1,-6
19807,-20,60,2,80.56,3.08,0.022,0.4,1,-10
232944,-20,60,1,81.11,5.39,0.011,-0.1,0,-15
95,-20,59,6,79.75,4.14,0.425,1.3,3,-3
950,-20,59,5,80.27,3.43,0.111,0.7,1,-4
1715,-20,59,4,80.49,2.94,0.071,0.5,1,-6
6368,-20,59,3,80.49,3.06,0.038,0.5,1,-7
21109,-20,59,2,80.44,3.25,0.022,0.6,1,-9
189801,-20,59,1,80.74,5.14,0.012,0.3,1,-13
157,-20,58,6,79.62,6.30,0.502,1.4,3,-7
690,-20,58,5,80.39,2.98,0.113,0.6,1,-5
2580,-20,58,4,80.62,3.15,0.062,0.4,1,-5
6625,-20,58,3,80.54,2.80,0.034,0.5,1,-7
22194,-20,58,2,80.42,3.01,0.020,0.6,1,-8
198620,-20,58,1,80.94,5.51,0.012,0.1,0,-16
203,-20,57,6,80.60,6.45,0.453,0.4,0,-11
1029,-20,57,5,80.46,3.04,0.095,0.5,1,-3
2646,-20,57,4,80.30,3.15,0.061,0.7,1,-7
6861,-20,57,3,80.77,3.02,0.036,0.2,0,-7
22206,-20,57,2,80.45,3.10,0.021,0.6,1,-9
218135,-20,57,1,80.98,5.29,0.011,0.0,0,-14
211,-20,56,6,80.34,5.39,0.371,0.7,1,-4
988,-20,56,5,80.54,3.37,0.107,0.5,1,-4
2810,-20,56,4,80.45,2.89,0.055,0.6,1,-5
5978,-20,56,3,80.33,2.92,0.038,0.7,1,-6
16452,-20,56,2,80.63,3.02,0.024,0.4,1,-6
222053,-20,56,1,81.20,5.24,0.011,-0.2,0,-12
127,-20,55,6,80.75,4.34,0.385,0.3,0,-3
1034,-20,55,5,80.45,3.04,0.095,0.6,1,0
2890,-20,55,4,80.45,2.97,0.055,0.6,1,-5
7721,-20,55,3,80.43,2.96,0.034,0.6,1,-5
18314,-20,55,2,80.67,2.96,0.022,0.3,1,-7
212678,-20,55,1,81.10,5.25,0.011,-0.1,0,-12
220,-20,54,6,80.08,6.39,0.431,0.9,2,-4
998,-20,54,5,80.11,3.06,0.097,0.9,2,-3
1944,-20,54,4,80.70,2.76,0.063,0.3,1,-5
6454,-20,54,3,80.50,2.80,0.035,0.5,1,-7
25382,-20,54,2,80.55,3.04,0.019,0.5,1,-7
204819,-20,54,1,80.98,5.45,0.012,0.0,0,-14
175,-20,53,6,79.74,5.65,0.427,1.3,3,-6
1045,-20,53,5,80.55,2.88,0.089,0.5,1,-2
2617,-20,53,4,80.74,2.96,0.058,0.3,1,-6
7216,-20,53,3,80.55,2.86,0.034,0.5,1,-5
21346,-20,53,2,80.72,3.01,0.021,0.3,1,-8
229284,-20,53,1,81.01,5.32,0.011,-0.0,0,-14
241,-20,52,6,80.44,4.85,0.313,0.6,1,-3
1158,-20,52,5,80.38,2.97,0.087,0.6,1,-4
2609,-20,52,4,80.38,2.83,0.055,0.6,1,-4
7465,-20,52,3,80.72,3.06,0.035,0.3,1,-4
22540,-20,52,2,80.34,2.93,0.019,0.7,1,-6
227089,-20,52,1,80.92,5.34,0.011,0.1,0,-14
141,-20,51,6,79.72,4.03,0.340,1.3,3,-1
956,-20,51,5,80.53,3.18,0.103,0.5,1,-2
2334,-20,51,4,80.62,3.16,0.065,0.4,1,-3
7286,-20,51,3,80.35,2.83,0.033,0.7,1,-5
23727,-20,51,2,80.55,3.10,0.020,0.5,1,-5
226555,-20,51,1,80.94,5.36,0.011,0.1,0,-12
183,-20,50,6,79.84,5.90,0.436,1.2,2,-5
673,-20,50,5,80.59,2.69,0.104,0.4,1,-2
2545,-20,50,4,80.50,3.02,0.060,0.5,1,-5
7510,-20,50,3,80.58,2.97,0.034,0.4,1,-6
23180,-20,50,2,80.58,3.08,0.020,0.4,1,-7
191028,-20,50,1,80.87,5.45,0.012,0.1,0,-15
170,-20,49,6,80.75,5.64,0.433,0.2,0,-9
871,-20,49,5,80.69,3.16,0.107,0.3,1,-2
2457,-20,49,4,80.33,2.78,0.056,0.7,1,-5
6993,-20,49,3,80.40,3.03,0.036,0.6,1,-7
18999,-20,49,2,80.43,2.98,0.022,0.6,1,-8
209151,-20,49,1,81.09,5.30,0.012,-0.1,0,-14
259,-20,48,6,80.24,4.63,0.288,0.8,2,-1
1199,-20,48,5,80.46,3.18,0.092,0.5,1,-2
2641,-20,48,4,80.44,2.94,0.057,0.6,1,-4
8120,-20,48,3,80.38,2.83,0.031,0.6,1,-5
18214,-20,48,2,80.67,2.98,0.022,0.3,1,-5
184518,-20,48,1,80.76,5.15,0.012,0.2,0,-13
177,-20,47,6,79.68,5.48,0.412,1.3,3,-4
1149,-20,47,5,80.65,3.59,0.106,0.4,1,0
2575,-20,47,4,80.85,3.26,0.064,0.1,0,-2
7477,-20,47,3,80.66,2.91,0.034,0.3,1,-5
22275,-20,47,2,80.54,3.08,0.021,0.5,1,-5
209284,-20,47,1,80.91,5.24,0.011,0.1,0,-11
159,-20,46,6,79.74,5.84,0.463,1.3,3,-4
872,-20,46,5,80.93,3.82,0.129,0.1,0,-4
2281,-20,46,4,80.52,2.69,0.056,0.5,1,-5
5404,-20,46,3,80.35,2.74,0.037,0.6,1,-7
19294,-20,46,2,80.53,3.02,0.022,0.5,1,-8
184525,-20,46,1,80.64,5.37,0.013,0.4,1,-15
148,-20,45,6,81.80,7.56,0.622,-0.8,-2,-13
952,-20,45,5,81.17,3.60,0.117,-0.2,0,-5
2599,-20,45,4,80.50,3.06,0.060,0.5,1,-8
6300,-20,45,3,80.46,2.94,0.037,0.5,1,-9
21198,-20,45,2,80.44,2.83,0.019,0.6,1,-8
213194,-20,45,1,80.80,5.27,0.011,0.2,0,-16
129,-20,44,6,80.74,7.48,0.658,0.3,0,-6
1254,-20,44,5,80.40,3.59,0.101,0.6,1,-4
2225,-20,44,4,80.73,2.98,0.063,0.3,1,-5
5823,-20,44,3,80.44,2.84,0.037,0.6,1,-5
18943,-20,44,2,80.47,3.05,0.022,0.5,1,-7
227704,-20,44,1,81.24,5.31,0.011,-0.2,0,-13
186,-20,43,6,80.48,5.10,0.374,0.5,1,-4
1032,-20,43,5,80.67,2.87,0.089,0.3,1,0
1860,-20,43,4,80.60,2.88,0.067,0.4,1,-5
6516,-20,43,3,80.37,2.81,0.035,0.6,1,-5
19765,-20,43,2,80.25,3.04,0.022,0.7,1,-8
212950,-20,43,1,80.84,5.27,0.011,0.2,0,-14
147,-20,42,6,80.03,5.11,0.422,1.0,2,-4
877,-20,42,5,80.52,3.49,0.118,0.5,1,-5
2079,-20,42,4,80.59,2.75,0.060,0.4,1,-6
6873,-20,42,3,80.40,2.81,0.034,0.6,1,-8
22310,-20,42,2,80.33,3.07,0.021,0.7,1,-9
215026,-20,42,1,81.01,5.57,0.012,-0.0,0,-16
202,-20,41,6,80.57,6.29,0.443,0.4,0,-11
1005,-20,41,5,80.64,3.04,0.096,0.4,1,-3
2846,-20,41,4,80.48,3.27,0.061,0.5,1,-8
6222,-20,41,3,80.79,2.76,0.035,0.2,0,-6
21169,-20,41,2,80.44,3.03,0.021,0.6,1,-9
187172,-20,41,1,80.94,5.24,0.012,0.1,0,-16
257,-20,40,6,80.63,4.99,0.311,0.4,1,-2
1176,-20,40,5,80.64,3.28,0.096,0.4,1,-2
2981,-20,40,4,80.45,3.04,0.056,0.6,1,-5
7671,-20,40,3,80.81,2.95,0.034,0.2,0,-5
20953,-20,40,2,80.56,2.99,0.021,0.4,1,-7
230774,-20,40,1,81.03,5.27,0.011,-0.0,0,-13
183,-20,39,6,81.04,4.86,0.359,-0.0,0,-4
900,-20,39,5,80.81,3.18,0.106,0.2,0,-2
2574,-20,39,4,80.35,2.79,0.055,0.6,1,-5
6128,-20,39,3,80.73,2.90,0.037,0.3,1,-5
18881,-20,39,2,80.66,2.91,0.021,0.3,1,-5
214570,-20,39,1,80.87,5.31,0.011,0.1,0,-12
171,-20,38,6,80.75,6.28,0.480,0.3,0,-8
928,-20,38,5,80.27,2.90,0.095,0.7,1,-4
2847,-20,38,4,80.55,2.88,0.054,0.4,1,-6
6670,-20,38,3,80.67,2.92,0.036,0.3,1,-7
18879,-20,38,2,80.42,2.99,0.022,0.6,1,-7
229812,-20,38,1,80.78,5.52,0.012,0.2,0,-16
177,-20,37,6,80.39,5.89,0.442,0.6,1,-9
949,-20,37,5,80.57,3.09,0.100,0.4,1,-3
2276,-20,37,4,80.71,3.07,0.064,0.3,1,-7
6345,-20,37,3,80.63,2.79,0.035,0.4,1,-6
21777,-20,37,2,80.69,2.97,0.020,0.3,1,-9
193220,-20,37,1,80.78,5.21,0.012,0.2,0,-16
154,-20,36,6,80.56,6.39,0.515,0.4,0,-6
