nDigis,iEta,iPhi,Depth,Mean TDC time[ns], TDC time RMS[ns], Uncertainty,Adjustment[ns],Adjustment[phase units],Net adjustment combined with first round
302864,-29,37,1,81.02,1.50,0.003,-0.0,0,-13
29131,-29,35,3,80.40,1.97,0.012,0.6,1,-14
52853,-29,35,2,80.58,1.57,0.007,0.4,1,-12
49195,-29,35,1,80.71,1.81,0.008,0.3,1,-11
23815,-29,33,3,80.49,2.00,0.013,0.5,1,-12
69191,-29,33,2,80.40,1.59,0.006,0.6,1,-11
288560,-29,33,1,80.55,1.45,0.003,0.4,1,-11
19933,-29,31,3,80.65,1.98,0.014,0.3,1,-10
40715,-29,29,3,80.38,1.95,0.010,0.6,1,-13
138145,-29,29,2,80.86,1.40,0.004,0.1,0,-12
292321,-29,29,1,80.66,1.17,0.002,0.3,1,-11
48087,-29,27,3,80.44,1.74,0.008,0.6,1,-10
52496,-29,27,2,80.77,1.27,0.006,0.2,0,-10
113613,-29,27,1,80.56,1.79,0.005,0.4,1,-11
10955,-29,25,3,80.43,1.90,0.018,0.6,1,-15
122051,-29,25,2,80.79,1.46,0.004,0.2,0,-14
88499,-29,25,1,80.45,1.01,0.003,0.6,1,-12
3113,-29,23,3,79.85,2.24,0.040,1.2,2,-17
42167,-29,23,2,80.79,1.17,0.006,0.2,0,-12
196837,-29,23,1,80.44,1.59,0.004,0.6,1,-11
57746,-29,21,3,80.77,2.16,0.009,0.2,0,-17
73300,-29,21,2,79.69,1.50,0.006,1.3,3,-13
310286,-29,21,1,79.50,1.42,0.003,1.5,3,-13
48864,-29,19,3,79.47,1.99,0.009,1.5,3,-11
75567,-29,19,2,79.59,1.50,0.005,1.4,3,-10
170961,-29,19,1,79.58,1.90,0.005,1.4,3,-11
39983,-29,17,3,79.62,2.12,0.011,1.4,3,-13
65072,-29,17,2,79.27,1.70,0.007,1.7,3,-13
105009,-29,17,1,79.46,1.45,0.004,1.5,3,-12
187,-29,15,3,78.20,2.39,0.175,2.8,6,-19
1562,-29,15,2,78.71,1.81,0.046,2.3,5,-21
337091,-29,15,1,79.80,1.81,0.003,1.2,2,-16
562,-29,13,3,78.41,2.07,0.087,2.6,5,-21
4346,-29,13,2,78.87,1.79,0.027,2.1,4,-18
274340,-29,13,1,79.53,1.22,0.002,1.5,3,-12
1617,-29,11,3,79.05,2.11,0.052,1.9,4,-20
26830,-29,11,2,79.49,1.20,0.007,1.5,3,-11
115984,-29,11,1,79.88,1.69,0.005,1.1,2,-11
41077,-29,9,3,79.74,1.83,0.009,1.3,3,-11
64737,-29,9,2,79.36,1.36,0.005,1.6,3,-11
87705,-29,9,1,79.43,1.05,0.004,1.6,3,-10
18472,-29,7,3,79.74,1.99,0.015,1.3,3,-9
3776,-29,7,2,78.72,2.50,0.041,2.3,5,-19
112542,-29,7,1,79.75,1.68,0.005,1.2,2,-11
2649,-29,5,3,79.02,2.24,0.044,2.0,4,-20
2391,-29,5,2,78.83,1.98,0.041,2.2,4,-21
417656,-29,5,1,79.38,1.31,0.002,1.6,3,-14
43145,-29,3,3,79.52,1.94,0.009,1.5,3,-12
47539,-29,3,2,79.53,1.29,0.006,1.5,3,-11
122657,-29,3,1,79.42,1.82,0.005,1.6,3,-13
855,-29,1,3,78.58,2.77,0.095,2.4,5,-22
2441,-29,1,2,78.32,2.48,0.050,2.7,5,-21
300321,-29,1,1,79.54,1.58,0.003,1.5,3,-13
69780,-28,71,7,79.48,3.13,0.012,1.5,3,-14
108376,-28,71,6,79.77,2.61,0.008,1.2,2,-14
187238,-28,71,5,79.20,2.18,0.005,1.8,4,-14
95470,-28,71,4,79.57,1.92,0.006,1.4,3,-13
16526,-28,71,3,78.59,2.62,0.020,2.4,5,-20
