nDigis,iEta,iPhi,Depth,Mean TDC time[ns], TDC time RMS[ns], Uncertainty,Adjustment[ns],Adjustment[phase units]
1279,-18,17,4,84.19,3.43,0.096,-3.2,-6
939,-18,18,4,83.80,3.13,0.102,-2.8,-6
579,-18,15,5,83.49,3.76,0.156,-2.5,-5
563,-18,16,5,83.19,3.03,0.128,-2.2,-4
541,-18,17,5,84.65,3.46,0.149,-3.6,-7
357,-18,18,5,84.61,4.10,0.217,-3.6,-7
8976,-17,15,2,89.43,4.28,0.045,-8.4,-17
7187,-17,16,2,86.30,4.15,0.049,-5.3,-11
12880,-17,17,2,86.85,4.51,0.040,-5.8,-12
10996,-17,18,2,87.45,4.49,0.043,-6.4,-13
1308,-17,15,3,84.94,3.82,0.106,-3.9,-8
1157,-17,16,3,84.29,4.04,0.119,-3.3,-7
1352,-17,17,3,85.71,3.92,0.107,-4.7,-9
1029,-17,18,3,85.36,4.07,0.127,-4.4,-9
1842,-16,15,4,89.37,5.11,0.119,-8.4,-17
1843,-16,16,4,87.03,4.86,0.113,-6.0,-12
3269,-16,17,4,87.63,5.16,0.090,-6.6,-13
2863,-16,18,4,87.54,5.41,0.101,-6.5,-13
3236,16,15,4,87.94,5.02,0.088,-6.9,-14
3387,16,16,4,88.64,4.89,0.084,-7.6,-15
2425,16,17,4,86.51,4.95,0.101,-5.5,-11
2206,16,18,4,89.04,5.07,0.108,-8.0,-16
12336,17,15,2,87.75,4.42,0.040,-6.8,-14
14639,17,16,2,88.48,4.38,0.036,-7.5,-15
7841,17,17,2,85.40,4.13,0.047,-4.4,-9
7292,17,18,2,87.99,4.05,0.047,-7.0,-14
1387,17,15,3,85.72,4.32,0.116,-4.7,-9
1338,17,16,3,85.71,4.21,0.115,-4.7,-9
1710,17,17,3,84.91,4.26,0.103,-3.9,-8
1263,17,18,3,84.78,3.76,0.106,-3.8,-8
13165,18,15,2,86.64,3.99,0.035,-5.6,-11
16329,18,16,2,87.05,3.98,0.031,-6.0,-12
15421,18,17,2,86.12,4.35,0.035,-5.1,-10
12299,18,18,2,87.64,4.23,0.038,-6.6,-13
8478,18,15,3,85.13,3.38,0.037,-4.1,-8
7608,18,16,3,85.96,3.34,0.038,-5.0,-10
6323,18,17,3,84.96,3.49,0.044,-4.0,-8
7359,18,18,3,84.47,3.51,0.041,-3.5,-7
1719,18,15,4,85.26,3.45,0.083,-4.3,-9
1310,18,16,4,84.66,3.28,0.091,-3.7,-7
1200,18,17,4,84.31,3.29,0.095,-3.3,-7
1062,18,18,4,83.55,3.11,0.095,-2.5,-5
722,18,15,5,84.18,4.33,0.161,-3.2,-6
720,18,16,5,85.02,3.83,0.143,-4.0,-8
609,18,17,5,83.83,3.76,0.152,-2.8,-6
413,18,18,5,83.29,3.62,0.178,-2.3,-5
45872,19,15,1,89.95,5.19,0.024,-8.9,-18
37668,19,16,1,90.69,5.25,0.027,-9.7,-19
45918,19,17,1,89.02,5.16,0.024,-8.0,-16
43087,19,18,1,88.91,5.09,0.025,-7.9,-16
10452,19,15,2,86.60,3.39,0.033,-5.6,-11
9480,19,16,2,85.75,3.30,0.034,-4.7,-9
8809,19,17,2,84.65,3.45,0.037,-3.6,-7
9073,19,18,2,85.92,3.46,0.036,-4.9,-10
6273,19,15,3,86.34,3.04,0.038,-5.3,-11
6036,19,16,3,87.53,3.03,0.039,-6.5,-13
4742,19,17,3,84.89,3.00,0.044,-3.9,-8
4991,19,18,3,85.43,3.14,0.044,-4.4,-9
2136,19,15,4,85.34,3.25,0.070,-4.3,-9
1820,19,16,4,86.09,3.40,0.080,-5.1,-10
2261,19,17,4,85.86,3.21,0.067,-4.9,-10
1946,19,18,4,84.66,3.04,0.069,-3.7,-7
688,19,15,5,83.58,3.60,0.137,-2.6,-5
829,19,16,5,83.94,3.57,0.124,-2.9,-6
742,19,17,5,82.93,3.53,0.130,-1.9,-4
650,19,18,5,82.69,3.24,0.127,-1.7,-3
180,19,15,6,86.10,6.31,0.470,-5.1,-10
140,19,16,6,86.46,5.98,0.506,-5.5,-11
153,19,17,6,84.34,6.73,0.544,-3.3,-7
116,19,18,6,83.78,5.80,0.538,-2.8,-6
50475,20,15,1,89.62,4.80,0.021,-8.6,-17
43118,20,16,1,90.43,4.93,0.024,-9.4,-19
54804,20,17,1,88.74,4.81,0.021,-7.7,-15
51604,20,18,1,88.28,4.77,0.021,-7.3,-15
9403,20,15,2,86.33,3.14,0.032,-5.3,-11
14034,20,16,2,87.78,3.03,0.026,-6.8,-14
10927,20,17,2,86.01,3.29,0.032,-5.0,-10
11590,20,18,2,86.36,3.28,0.030,-5.4,-11
8447,20,15,3,85.92,2.88,0.031,-4.9,-10
6427,20,16,3,86.15,2.95,0.037,-5.2,-10
7677,20,17,3,85.11,2.97,0.034,-4.1,-8
6635,20,18,3,85.71,2.98,0.037,-4.7,-9
2660,20,15,4,86.00,3.10,0.060,-5.0,-10
2765,20,16,4,86.51,3.11,0.059,-5.5,-11
2070,20,17,4,84.90,2.95,0.065,-3.9,-8
2381,20,18,4,85.10,2.98,0.061,-4.1,-8
922,20,15,5,84.63,3.18,0.105,-3.6,-7
1089,20,16,5,84.57,3.05,0.093,-3.6,-7
1057,20,17,5,83.88,3.17,0.098,-2.9,-6
998,20,18,5,84.03,3.23,0.102,-3.0,-6
241,20,15,6,86.27,6.10,0.393,-5.3,-11
172,20,16,6,87.39,5.83,0.444,-6.4,-13
163,20,17,6,84.42,5.38,0.421,-3.4,-7
141,20,18,6,84.31,5.24,0.441,-3.3,-7
99032,21,15,1,91.64,4.45,0.014,-10.6,-21
106777,21,17,1,90.24,4.34,0.013,-9.2,-18
18971,21,15,2,88.13,2.51,0.018,-7.1,-14
19578,21,17,2,87.26,2.73,0.019,-6.3,-13
13590,21,15,3,88.18,2.66,0.023,-7.2,-14
13811,21,17,3,86.95,2.73,0.023,-5.9,-12
5262,21,15,4,89.58,3.07,0.042,-8.6,-17
4535,21,17,4,86.84,3.02,0.045,-5.8,-12
2359,21,15,5,87.79,3.26,0.067,-6.8,-14
1905,21,17,5,85.28,3.17,0.073,-4.3,-9
267,21,15,6,89.67,5.73,0.350,-8.7,-17
354,21,17,6,85.90,5.66,0.301,-4.9,-10
145059,22,15,1,90.85,4.00,0.011,-9.9,-20
139731,22,17,1,89.84,3.93,0.011,-8.8,-18
35420,22,15,2,88.16,2.51,0.013,-7.2,-14
29235,22,17,2,87.01,2.55,0.015,-6.0,-12
20523,22,15,3,87.98,2.43,0.017,-7.0,-14
17478,22,17,3,87.71,2.45,0.019,-6.7,-13
7130,22,15,4,87.50,2.76,0.033,-6.5,-13
6412,22,17,4,87.30,2.67,0.033,-6.3,-13
3063,22,15,5,86.94,3.07,0.055,-5.9,-12
2581,22,17,5,85.48,2.96,0.058,-4.5,-9
547,22,15,6,87.21,4.95,0.212,-6.2,-12
328,22,17,6,86.95,4.39,0.242,-5.9,-12
165689,23,15,1,91.74,3.57,0.009,-10.7,-21
189529,23,17,1,90.19,3.53,0.008,-9.2,-18
38206,23,15,2,88.89,2.15,0.011,-7.9,-16
54377,23,17,2,87.35,2.34,0.010,-6.3,-13
25808,23,15,3,89.21,2.30,0.014,-8.2,-16
28209,23,17,3,87.94,2.39,0.014,-6.9,-14
11626,23,15,4,89.07,2.62,0.024,-8.1,-16
10254,23,17,4,86.78,2.62,0.026,-5.8,-12
4519,23,15,5,88.10,2.95,0.044,-7.1,-14
3977,23,17,5,85.86,2.88,0.046,-4.9,-10
694,23,15,6,88.85,4.06,0.154,-7.8,-16
890,23,17,6,86.07,3.82,0.128,-5.1,-10
220324,24,15,1,90.72,3.15,0.007,-9.7,-19
271399,24,17,1,90.23,3.18,0.006,-9.2,-18
71620,24,15,2,89.20,2.03,0.008,-8.2,-16
85720,24,17,2,88.67,2.14,0.007,-7.7,-15
45618,24,15,3,89.92,2.19,0.010,-8.9,-18
36702,24,17,3,88.98,2.12,0.011,-8.0,-16
14450,24,15,4,87.71,2.44,0.020,-6.7,-13
16953,24,17,4,88.42,2.61,0.020,-7.4,-15
6452,24,15,5,88.25,3.01,0.037,-7.3,-15
6812,24,17,5,86.27,2.91,0.035,-5.3,-11
1535,24,15,6,88.21,3.94,0.101,-7.2,-14
1388,24,17,6,86.42,4.03,0.108,-5.4,-11
305739,25,15,1,91.26,2.70,0.005,-10.3,-21
383523,25,17,1,90.61,2.78,0.004,-9.6,-19
86809,25,15,2,89.39,1.86,0.006,-8.4,-17
99296,25,17,2,87.77,1.82,0.006,-6.8,-14
53757,25,15,3,90.35,1.95,0.008,-9.4,-19
65601,25,17,3,88.61,2.10,0.008,-7.6,-15
26317,25,15,4,88.57,2.38,0.015,-7.6,-15
32635,25,17,4,87.55,2.39,0.013,-6.6,-13
10836,25,15,5,89.67,2.96,0.028,-8.7,-17
11897,25,17,5,87.00,2.96,0.027,-6.0,-12
2458,25,15,6,92.06,3.98,0.080,-11.1,-22
3058,25,17,6,89.12,4.18,0.076,-8.1,-16
461316,26,15,1,90.50,2.27,0.003,-9.5,-19
455898,26,17,1,89.37,2.19,0.003,-8.4,-17
101690,26,15,2,89.49,1.63,0.005,-8.5,-17
61852,26,17,2,88.74,1.55,0.006,-7.7,-15
70567,26,15,3,89.20,1.68,0.006,-8.2,-16
87273,26,17,3,88.20,1.71,0.006,-7.2,-14
49666,26,15,4,88.86,2.00,0.009,-7.9,-16
63430,26,17,4,88.62,2.03,0.008,-7.6,-15
45105,26,15,5,89.09,2.29,0.011,-8.1,-16
46485,26,17,5,88.79,2.34,0.011,-7.8,-16
26051,26,15,6,89.26,3.03,0.019,-8.3,-17
22381,26,17,6,86.63,3.01,0.020,-5.6,-11
7400,26,15,7,91.03,4.02,0.047,-10.0,-20
5580,26,17,7,89.40,3.81,0.051,-8.4,-17
366452,27,15,1,90.33,2.15,0.004,-9.3,-19
396022,27,17,1,88.95,2.20,0.003,-7.9,-16
73909,27,15,2,89.20,1.39,0.005,-8.2,-16
102072,27,17,2,87.47,1.48,0.005,-6.5,-13
60201,27,15,3,89.76,1.50,0.006,-8.8,-18
81498,27,17,3,87.74,1.68,0.006,-6.7,-13
53723,27,15,4,89.32,1.87,0.008,-8.3,-17
51584,27,17,4,88.07,1.91,0.008,-7.1,-14
52556,27,15,5,90.76,2.40,0.010,-9.8,-20
59665,27,17,5,87.90,2.46,0.010,-6.9,-14
28753,27,15,6,90.85,3.14,0.018,-9.9,-20
29879,27,17,6,87.58,3.07,0.018,-6.6,-13
9427,27,15,7,92.19,4.13,0.042,-11.2,-22
11262,27,17,7,88.84,3.91,0.037,-7.8,-16
484701,28,15,1,89.44,1.40,0.002,-8.4,-17
573420,28,17,1,89.58,1.69,0.002,-8.6,-17
78394,28,15,2,89.57,1.68,0.006,-8.6,-17
220490,28,17,2,89.07,1.37,0.003,-8.1,-16
176089,28,15,3,88.97,1.53,0.004,-8.0,-16
186369,28,17,3,88.53,1.55,0.004,-7.5,-15
275982,28,15,4,90.01,1.91,0.004,-9.0,-18
194276,28,17,4,89.80,1.97,0.004,-8.8,-18
168774,28,15,5,90.33,2.16,0.005,-9.3,-19
339138,28,17,5,89.36,2.12,0.004,-8.4,-17
410842,28,15,6,88.77,2.43,0.004,-7.8,-16
354959,28,17,6,88.78,2.55,0.004,-7.8,-16
255141,28,15,7,91.29,3.82,0.008,-10.3,-21
174110,28,17,7,89.59,3.18,0.008,-8.6,-17
204241,29,15,1,88.70,1.46,0.003,-7.7,-15
112276,29,17,1,89.46,1.92,0.006,-8.5,-17
22247,29,15,2,89.71,1.84,0.012,-8.7,-17
56820,29,17,2,88.53,1.56,0.007,-7.5,-15
81326,29,15,3,91.32,1.94,0.007,-10.3,-21
18899,29,17,3,89.10,2.35,0.017,-8.1,-16
64733,-29,19,1,88.02,1.97,0.008,-7.0,-14
123498,-29,21,1,88.90,1.49,0.004,-7.9,-16
51568,-29,19,2,87.47,1.57,0.007,-6.5,-13
48442,-29,21,2,89.20,1.64,0.007,-8.2,-16
64715,-29,19,3,87.86,1.97,0.008,-6.9,-14
92914,-29,21,3,89.68,2.08,0.007,-8.7,-17
317967,-28,19,1,88.92,1.80,0.003,-7.9,-16
404091,-28,21,1,89.40,1.34,0.002,-8.4,-17
208059,-28,19,2,88.17,1.26,0.003,-7.2,-14
237801,-28,21,2,89.02,1.29,0.003,-8.0,-16
189812,-28,19,3,87.69,1.60,0.004,-6.7,-13
202831,-28,21,3,89.24,1.63,0.004,-8.2,-16
154076,-28,19,4,89.38,1.85,0.005,-8.4,-17
181013,-28,21,4,90.18,1.94,0.005,-9.2,-18
362286,-28,19,5,88.34,2.06,0.003,-7.3,-15
318001,-28,21,5,89.72,2.24,0.004,-8.7,-17
294348,-28,19,6,88.51,2.42,0.004,-7.5,-15
403255,-28,21,6,89.06,2.52,0.004,-8.1,-16
194481,-28,19,7,88.57,3.15,0.007,-7.6,-15
165731,-28,21,7,90.17,3.44,0.008,-9.2,-18
308229,-27,19,1,88.31,2.25,0.004,-7.3,-15
335813,-27,21,1,90.05,2.22,0.004,-9.1,-18
98024,-27,19,2,87.05,1.46,0.005,-6.0,-12
110268,-27,21,2,88.42,1.43,0.004,-7.4,-15
81070,-27,19,3,87.22,1.66,0.006,-6.2,-12
104003,-27,21,3,88.26,1.63,0.005,-7.3,-15
37630,-27,19,4,88.11,1.92,0.010,-7.1,-14
54589,-27,21,4,88.89,1.96,0.008,-7.9,-16
44257,-27,19,5,87.18,2.33,0.011,-6.2,-12
53972,-27,21,5,88.31,2.45,0.011,-7.3,-15
26415,-27,19,6,86.89,3.03,0.019,-5.9,-12
35836,-27,21,6,88.95,3.27,0.017,-7.9,-16
7430,-27,19,7,88.20,4.00,0.046,-7.2,-14
7377,-27,21,7,89.84,3.94,0.046,-8.8,-18
463110,-26,19,1,88.70,2.25,0.003,-7.7,-15
479240,-26,21,1,90.86,2.41,0.003,-9.9,-20
95430,-26,19,2,87.64,1.63,0.005,-6.6,-13
82532,-26,21,2,89.93,1.67,0.006,-8.9,-18
101987,-26,19,3,88.24,1.83,0.006,-7.2,-14
105479,-26,21,3,88.66,1.72,0.005,-7.7,-15
56084,-26,19,4,87.56,1.98,0.008,-6.6,-13
54057,-26,21,4,88.94,2.05,0.009,-7.9,-16
53790,-26,19,5,88.45,2.39,0.010,-7.4,-15
48701,-26,21,5,89.00,2.38,0.011,-8.0,-16
24281,-26,19,6,86.73,3.08,0.020,-5.7,-11
25899,-26,21,6,88.54,3.00,0.019,-7.5,-15
6653,-26,19,7,88.52,3.92,0.048,-7.5,-15
6129,-26,21,7,90.21,3.90,0.050,-9.2,-18
355490,-25,19,1,90.12,2.69,0.005,-9.1,-18
260138,-25,21,1,90.54,2.78,0.005,-9.5,-19
108946,-25,19,2,87.18,1.86,0.006,-6.2,-12
109195,-25,21,2,88.26,1.82,0.005,-7.3,-15
78716,-25,19,3,88.72,2.23,0.008,-7.7,-15
58360,-25,21,3,89.13,2.06,0.009,-8.1,-16
32036,-25,19,4,87.99,2.54,0.014,-7.0,-14
26892,-25,21,4,88.51,2.50,0.015,-7.5,-15
13843,-25,19,5,85.89,3.00,0.026,-4.9,-10
12808,-25,21,5,88.03,2.98,0.026,-7.0,-14
4106,-25,19,6,88.67,4.24,0.066,-7.7,-15
2873,-25,21,6,89.06,3.91,0.073,-8.1,-16
209505,-24,19,1,88.91,3.15,0.007,-7.9,-16
194960,-24,21,1,90.92,3.19,0.007,-9.9,-20
93187,-24,19,2,88.12,2.25,0.007,-7.1,-14
77732,-24,21,2,89.01,1.98,0.007,-8.0,-16
44523,-24,19,3,88.53,2.36,0.011,-7.5,-15
41366,-24,21,3,89.33,2.06,0.010,-8.3,-17
20355,-24,19,4,87.55,2.63,0.018,-6.5,-13
14938,-24,21,4,87.05,2.58,0.021,-6.1,-12
7198,-24,19,5,85.39,2.93,0.034,-4.4,-9
7213,-24,21,5,87.16,3.00,0.035,-6.2,-12
2147,-24,19,6,86.15,3.88,0.084,-5.1,-10
1466,-24,21,6,87.73,4.29,0.112,-6.7,-13
189643,-23,19,1,90.68,3.60,0.008,-9.7,-19
173291,-23,21,1,90.80,3.57,0.009,-9.8,-20
40785,-23,19,2,86.89,2.36,0.012,-5.9,-12
48200,-23,21,2,87.68,2.28,0.010,-6.7,-13
28680,-23,19,3,86.82,2.36,0.014,-5.8,-12
28544,-23,21,3,88.62,2.49,0.015,-7.6,-15
10254,-23,19,4,86.80,2.76,0.027,-5.8,-12
12426,-23,21,4,87.81,2.63,0.024,-6.8,-14
5422,-23,19,5,85.85,3.13,0.043,-4.9,-10
4462,-23,21,5,85.85,2.99,0.045,-4.9,-10
1176,-23,19,6,86.65,4.17,0.122,-5.7,-11
818,-23,21,6,88.79,4.60,0.161,-7.8,-16
128760,-22,19,1,90.15,4.09,0.011,-9.1,-18
135378,-22,21,1,90.74,4.01,0.011,-9.7,-19
35844,-22,19,2,86.50,2.58,0.014,-5.5,-11
28290,-22,21,2,87.14,2.41,0.014,-6.1,-12
27789,-22,19,3,87.25,2.64,0.016,-6.3,-13
22020,-22,21,3,88.76,2.60,0.018,-7.8,-16
7870,-22,19,4,86.68,2.93,0.033,-5.7,-11
7676,-22,21,4,87.57,2.80,0.032,-6.6,-13
3082,-22,19,5,85.66,3.14,0.056,-4.7,-9
3449,-22,21,5,86.51,3.09,0.053,-5.5,-11
624,-22,19,6,86.20,4.90,0.196,-5.2,-10
658,-22,21,6,87.57,5.25,0.205,-6.6,-13
111246,-21,19,1,90.04,4.31,0.013,-9.0,-18
101703,-21,21,1,90.85,4.43,0.014,-9.8,-20
14813,-21,19,2,86.67,2.58,0.021,-5.7,-11
20900,-21,21,2,88.11,2.73,0.019,-7.1,-14
17668,-21,19,3,86.14,2.78,0.021,-5.1,-10
15754,-21,21,3,87.59,2.82,0.022,-6.6,-13
5214,-21,19,4,87.23,2.88,0.040,-6.2,-12
4719,-21,21,4,87.76,2.89,0.042,-6.8,-14
2316,-21,19,5,85.35,3.13,0.065,-4.4,-9
1764,-21,21,5,85.53,3.20,0.076,-4.5,-9
393,-21,19,6,86.08,4.26,0.215,-5.1,-10
357,-21,21,6,87.96,4.86,0.257,-7.0,-14
40901,-20,19,1,88.02,4.76,0.024,-7.0,-14
52787,-20,20,1,88.51,4.75,0.021,-7.5,-15
42369,-20,21,1,89.13,4.82,0.023,-8.1,-16
45539,-20,22,1,89.72,5.00,0.023,-8.7,-17
11961,-20,19,2,85.86,3.16,0.029,-4.9,-10
10471,-20,20,2,86.06,2.97,0.029,-5.1,-10
11664,-20,21,2,86.93,3.14,0.029,-5.9,-12
8599,-20,22,2,85.81,3.06,0.033,-4.8,-10
8439,-20,19,3,84.57,3.06,0.033,-3.6,-7
5802,-20,20,3,84.45,2.91,0.038,-3.5,-7
7515,-20,21,3,85.66,2.95,0.034,-4.7,-9
7688,-20,22,3,86.65,3.01,0.034,-5.6,-11
2457,-20,19,4,84.32,3.37,0.068,-3.3,-7
2338,-20,20,4,85.31,3.04,0.063,-4.3,-9
2126,-20,21,4,86.19,2.98,0.065,-5.2,-10
2333,-20,22,4,85.33,3.08,0.064,-4.3,-9
1214,-20,19,5,82.45,3.38,0.097,-1.4,-3
1162,-20,20,5,83.64,3.12,0.091,-2.6,-5
1063,-20,21,5,83.97,3.23,0.099,-3.0,-6
921,-20,22,5,83.89,3.05,0.100,-2.9,-6
179,-20,19,6,82.90,4.45,0.332,-1.9,-4
223,-20,20,6,84.68,6.00,0.402,-3.7,-7
180,-20,21,6,87.09,6.58,0.490,-6.1,-12
179,-20,22,6,85.49,6.23,0.466,-4.5,-9
33776,-19,19,1,88.96,5.34,0.029,-8.0,-16
40656,-19,20,1,89.16,5.17,0.026,-8.2,-16
38253,-19,21,1,89.87,5.25,0.027,-8.9,-18
41035,-19,22,1,89.11,5.36,0.026,-8.1,-16
8341,-19,19,2,85.12,3.52,0.039,-4.1,-8
9181,-19,20,2,84.92,3.41,0.036,-3.9,-8
7936,-19,21,2,85.25,3.22,0.036,-4.2,-8
9902,-19,22,2,87.07,3.26,0.033,-6.1,-12
6883,-19,19,3,84.44,3.22,0.039,-3.4,-7
5928,-19,20,3,84.68,3.22,0.042,-3.7,-7
6587,-19,21,3,85.45,3.18,0.039,-4.5,-9
7001,-19,22,3,85.80,3.14,0.038,-4.8,-10
1996,-19,19,4,84.84,3.40,0.076,-3.8,-8
2439,-19,20,4,84.74,3.00,0.061,-3.7,-7
1593,-19,21,4,85.07,3.33,0.083,-4.1,-8
1940,-19,22,4,85.21,3.23,0.073,-4.2,-8
759,-19,19,5,82.01,3.96,0.144,-1.0,-2
831,-19,20,5,82.33,3.61,0.125,-1.3,-3
620,-19,21,5,83.43,3.05,0.122,-2.4,-5
704,-19,22,5,83.24,3.25,0.123,-2.2,-4
165,-19,19,6,83.64,6.62,0.515,-2.6,-5
159,-19,20,6,84.25,5.65,0.448,-3.3,-7
126,-19,21,6,86.93,6.92,0.617,-5.9,-12
123,-19,22,6,86.48,7.97,0.719,-5.5,-11
9018,-18,19,2,85.33,4.18,0.044,-4.3,-9
12537,-18,20,2,86.17,4.55,0.041,-5.2,-10
13991,-18,21,2,86.55,4.27,0.036,-5.6,-11
15260,-18,22,2,86.68,4.22,0.034,-5.7,-11
6446,-18,19,3,84.39,3.44,0.043,-3.4,-7
6675,-18,20,3,84.14,3.39,0.042,-3.1,-6
7916,-18,21,3,85.64,3.38,0.038,-4.6,-9
6832,-18,22,3,84.18,3.20,0.039,-3.2,-6
994,-18,19,4,83.70,3.27,0.104,-2.7,-5
1458,-18,20,4,83.92,3.39,0.089,-2.9,-6
1529,-18,21,4,85.40,3.39,0.087,-4.4,-9
1451,-18,22,4,84.65,3.24,0.085,-3.7,-7
549,-18,19,5,83.19,3.79,0.162,-2.2,-4
615,-18,20,5,83.72,3.77,0.152,-2.7,-5
551,-18,21,5,84.24,3.57,0.152,-3.2,-6
587,-18,22,5,84.59,4.33,0.179,-3.6,-7
8680,-17,19,2,86.54,4.14,0.044,-5.5,-11
8159,-17,20,2,86.69,4.05,0.045,-5.7,-11
11963,-17,21,2,88.57,4.47,0.041,-7.6,-15
11628,-17,22,2,88.07,4.34,0.040,-7.1,-14
1406,-17,19,3,85.07,4.28,0.114,-4.1,-8
1309,-17,20,3,84.56,4.59,0.127,-3.6,-7
1236,-17,21,3,85.70,3.98,0.113,-4.7,-9
1178,-17,22,3,85.35,4.37,0.127,-4.4,-9
2072,-16,19,4,86.91,5.24,0.115,-5.9,-12
2798,-16,20,4,87.91,5.41,0.102,-6.9,-14
3613,-16,21,4,88.29,5.21,0.087,-7.3,-15
2635,-16,22,4,88.27,5.18,0.101,-7.3,-15
2496,16,19,4,88.42,5.21,0.104,-7.4,-15
3153,16,20,4,88.26,5.17,0.092,-7.3,-15
3238,16,21,4,87.40,5.28,0.093,-6.4,-13
2611,16,22,4,87.71,5.20,0.102,-6.7,-13
11085,17,19,2,88.49,4.50,0.043,-7.5,-15
12250,17,20,2,87.85,4.34,0.039,-6.8,-14
9155,17,21,2,86.43,4.15,0.043,-5.4,-11
8277,17,22,2,86.65,4.11,0.045,-5.6,-11
1431,17,19,3,85.33,4.42,0.117,-4.3,-9
1491,17,20,3,86.80,4.18,0.108,-5.8,-12
1845,17,21,3,85.04,3.80,0.089,-4.0,-8
1638,17,22,3,85.32,4.11,0.102,-4.3,-9
13431,18,19,2,87.92,4.42,0.038,-6.9,-14
16829,18,20,2,87.25,4.65,0.036,-6.3,-13
19614,18,21,2,86.63,4.29,0.031,-5.6,-11
17020,18,22,2,86.01,4.00,0.031,-5.0,-10
7230,18,19,3,85.43,3.39,0.040,-4.4,-9
5611,18,20,3,85.04,3.23,0.043,-4.0,-8
9279,18,21,3,83.69,3.31,0.034,-2.7,-5
9896,18,22,3,84.42,3.45,0.035,-3.4,-7
1159,18,19,4,85.25,3.30,0.097,-4.2,-8
1433,18,20,4,85.40,3.59,0.095,-4.4,-9
1720,18,21,4,83.77,3.38,0.081,-2.8,-6
1594,18,22,4,82.92,3.47,0.087,-1.9,-4
425,18,19,5,84.79,3.36,0.163,-3.8,-8
437,18,20,5,84.62,3.74,0.179,-3.6,-7
654,18,21,5,84.16,3.72,0.146,-3.2,-6
735,18,22,5,82.87,3.47,0.128,-1.9,-4
39412,19,19,1,90.15,5.30,0.027,-9.1,-18
40322,19,20,1,89.87,5.24,0.026,-8.9,-18
44026,19,21,1,89.18,5.26,0.025,-8.2,-16
39185,19,22,1,88.65,5.07,0.026,-7.6,-15
7918,19,19,2,86.28,3.21,0.036,-5.3,-11
7988,19,20,2,85.93,3.38,0.038,-4.9,-10
10339,19,21,2,84.82,3.39,0.033,-3.8,-8
9807,19,22,2,85.53,3.57,0.036,-4.5,-9
5206,19,19,3,85.49,3.07,0.042,-4.5,-9
4926,19,20,3,85.55,3.06,0.044,-4.6,-9
7268,19,21,3,84.59,3.10,0.036,-3.6,-7
6689,19,22,3,85.28,3.41,0.042,-4.3,-9
2016,19,19,4,84.97,3.20,0.071,-4.0,-8
1575,19,20,4,85.06,2.72,0.068,-4.1,-8
2374,19,21,4,85.24,3.13,0.064,-4.2,-8
2160,19,22,4,84.53,3.26,0.070,-3.5,-7
506,19,19,5,83.47,3.70,0.165,-2.5,-5
603,19,20,5,82.95,3.37,0.137,-1.9,-4
789,19,21,5,82.28,3.37,0.120,-1.3,-3
760,19,22,5,82.45,3.37,0.122,-1.4,-3
146,19,19,6,86.06,7.45,0.616,-5.1,-10
116,19,20,6,86.93,5.46,0.507,-5.9,-12
123,19,21,6,83.50,6.17,0.557,-2.5,-5
139,19,22,6,83.56,6.71,0.569,-2.6,-5
53090,20,19,1,89.64,4.91,0.021,-8.6,-17
51330,20,20,1,89.34,4.88,0.022,-8.3,-17
51407,20,21,1,89.72,4.86,0.021,-8.7,-17
49487,20,22,1,88.89,4.90,0.022,-7.9,-16
11325,20,19,2,85.68,3.03,0.029,-4.7,-9
13265,20,20,2,86.61,3.32,0.029,-5.6,-11
13304,20,21,2,85.34,3.21,0.028,-4.3,-9
12071,20,22,2,85.81,3.31,0.030,-4.8,-10
6372,20,19,3,85.87,2.97,0.037,-4.9,-10
6156,20,20,3,85.49,2.89,0.037,-4.5,-9
10783,20,21,3,84.78,3.03,0.029,-3.8,-8
8633,20,22,3,84.84,2.88,0.031,-3.8,-8
2744,20,19,4,84.74,3.11,0.059,-3.7,-7
2542,20,20,4,85.69,3.17,0.063,-4.7,-9
2680,20,21,4,84.81,3.24,0.063,-3.8,-8
2511,20,22,4,85.00,3.02,0.060,-4.0,-8
820,20,19,5,84.08,3.30,0.115,-3.1,-6
786,20,20,5,84.10,3.67,0.131,-3.1,-6
1118,20,21,5,84.12,3.44,0.103,-3.1,-6
1197,20,22,5,83.89,3.73,0.108,-2.9,-6
154,20,19,6,86.26,7.23,0.583,-5.3,-11
114,20,20,6,85.60,5.46,0.511,-4.6,-9
240,20,21,6,84.57,5.18,0.335,-3.6,-7
170,20,22,6,84.59,4.79,0.367,-3.6,-7
110241,21,19,1,91.29,4.48,0.013,-10.3,-21
108208,21,21,1,89.98,4.26,0.013,-9.0,-18
24925,21,19,2,87.39,2.67,0.017,-6.4,-13
27729,21,21,2,86.91,2.92,0.018,-5.9,-12
13205,21,19,3,87.41,2.90,0.025,-6.4,-13
24813,21,21,3,86.44,2.79,0.018,-5.4,-11
5866,21,19,4,87.32,2.88,0.038,-6.3,-13
5907,21,21,4,86.87,2.79,0.036,-5.9,-12
1279,21,19,5,85.27,3.34,0.093,-4.3,-9
2047,21,21,5,85.62,3.17,0.070,-4.6,-9
294,21,19,6,88.24,5.24,0.306,-7.2,-14
338,21,21,6,85.91,4.72,0.257,-4.9,-10
126852,22,19,1,89.74,3.91,0.011,-8.7,-17
